[PERF] units H:32 E:37 | tick avg 0.62ms max 6.08ms (n=300) | move 40.4ms | target 0.1ms (61 calls) | path 0.4ms max 0.35ms (1 calls) | fog 48.9ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:37 | tick avg 0.59ms max 6.04ms (n=300) | move 34.5ms | target 0.1ms (46 calls) | path 0.7ms max 0.37ms (2 calls) | fog 54.0ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:37 | tick avg 0.63ms max 6.53ms (n=301) | move 40.5ms | target 0.1ms (68 calls) | path 0.4ms max 0.36ms (1 calls) | fog 54.8ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:40 | tick avg 0.75ms max 6.04ms (n=300) | move 74.9ms | target 0.1ms (73 calls) | path 34.4ms max 4.47ms (9 calls) | fog 54.0ms | minimap 0.3ms | ai 1.4ms | window 5.0s
[PERF] units H:32 E:40 | tick avg 0.85ms max 10.32ms (n=300) | move 111.6ms | target 0.1ms (68 calls) | path 73.4ms max 4.46ms (19 calls) | fog 49.2ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:40 | tick avg 0.88ms max 9.15ms (n=300) | move 114.2ms | target 0.2ms (87 calls) | path 75.1ms max 4.45ms (21 calls) | fog 56.3ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:40 | tick avg 0.88ms max 6.10ms (n=300) | move 114.8ms | target 0.2ms (87 calls) | path 74.3ms max 4.44ms (21 calls) | fog 54.3ms | minimap 0.3ms | ai 0.2ms | window 5.0s
[PERF] units H:32 E:40 | tick avg 0.86ms max 6.35ms (n=301) | move 111.9ms | target 0.1ms (65 calls) | path 74.8ms max 4.46ms (20 calls) | fog 53.9ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:40 | tick avg 0.87ms max 10.24ms (n=300) | move 113.0ms | target 0.2ms (85 calls) | path 74.3ms max 4.42ms (21 calls) | fog 54.4ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:42 | tick avg 0.99ms max 6.24ms (n=301) | move 148.2ms | target 0.2ms (91 calls) | path 104.8ms max 4.68ms (27 calls) | fog 49.6ms | minimap 0.3ms | ai 1.1ms | window 5.0s
[PERF] units H:32 E:42 | tick avg 1.02ms max 6.03ms (n=300) | move 155.5ms | target 0.1ms (74 calls) | path 115.1ms max 4.75ms (30 calls) | fog 54.6ms | minimap 0.3ms | ai 0.1ms | window 5.0s
